# Time-averaged data for fix dU
# TimeStep c_1[1] c_1[2] c_2[1] c_2[2]
41600 0.223195 0.685986 0.129024 0.804225
41700 0.226163 0.682556 0.123654 0.81155
41800 0.235595 0.67177 0.116236 0.821781
41900 0.220237 0.689421 0.129498 0.803581
42000 0.228418 0.679961 0.12701 0.806964
42100 0.276769 0.62665 0.0901855 0.858737
42200 0.277022 0.626382 0.087936 0.862006
42300 0.258977 0.645763 0.10291 0.840482
42400 0.230987 0.677018 0.128287 0.805227
42500 0.248894 0.656852 0.112754 0.826626
42600 0.22453 0.684441 0.132793 0.799122
42700 0.178364 0.739933 0.166646 0.754721
42800 0.166801 0.754523 0.172488 0.747312
42900 0.157423 0.766567 0.179598 0.738393
43000 0.231286 0.676676 0.115759 0.822443
43100 0.202833 0.709983 0.135228 0.795843
43200 0.191142 0.724138 0.145369 0.782331
43300 0.0877339 0.8623 0.231862 0.676019
43400 0.115483 0.822825 0.213076 0.697808
43500 0.157298 0.766728 0.179638 0.738343
43600 0.145129 0.782647 0.190645 0.724747
43700 0.150472 0.775618 0.18248 0.734808
43800 0.0317366 0.947819 0.27774 0.625623
43900 -0.0452204 1.07935 0.342939 0.560399
44000 0.0192265 0.968054 0.289085 0.613752
44100 0.10861 0.832431 0.218006 0.692022
44200 0.0705169 0.887738 0.240971 0.665699
44300 0.0905316 0.858236 0.220328 0.689314
44400 0.0579476 0.906782 0.242988 0.663436
44500 0.0414554 0.93239 0.259369 0.645336
44600 0.040365 0.934109 0.265131 0.639087
44700 0.033976 0.944241 0.27109 0.632689
44800 0.0530685 0.914284 0.25781 0.647037
44900 0.0704571 0.887828 0.246241 0.659802
45000 0.0620649 0.900499 0.254161 0.651036
45100 0.0491202 0.9204 0.25996 0.644692
45200 0.0477387 0.92255 0.260859 0.643714
45300 0.198251 0.715497 0.137337 0.793013
45400 0.21347 0.697343 0.125123 0.80954
45500 0.105617 0.83665 0.208806 0.702857
45600 0.0479618 0.922202 0.254 0.651213
45700 0.0440886 0.928254 0.255226 0.649866
45800 0.0797612 0.873988 0.225274 0.683582
45900 0.100883 0.843364 0.212233 0.698802
46000 0.107236 0.834365 0.212156 0.698892
46100 0.120658 0.815666 0.203947 0.708648
46200 0.0622911 0.900155 0.250818 0.654722
46300 0.102298 0.841351 0.218274 0.69171
46400 0.124255 0.810728 0.19563 0.718671
46500 0.122822 0.812691 0.198564 0.715119
46600 0.128576 0.804833 0.192072 0.723002
46700 0.13649 0.794149 0.184566 0.732224
46800 0.152839 0.772524 0.17342 0.746136
46900 0.194144 0.720477 0.140051 0.789388
47000 0.118205 0.819052 0.198584 0.715095
47100 0.149444 0.776965 0.174564 0.744697
